Country,Year,Data.Daily cigarettes,Data.Percentage.Male,Data.Percentage.Female,Data.Percentage.Total,Data.Smokers.Total,Data.Smokers.Female,Data.Smokers.Male
Afghanistan,2012,5.1999998,11.9,21.1,2.5,1862700,193836,1668864
Albania,2012,19.9,20.5,37.299999,3.9000001,509040,48426,460614
Algeria,2012,24.4,11.2,21.299999,0.89999998,3123101,122671,3000430
Andorra,2012,19.9,26.6,31.5,22.0,17757,7542,10216
Angola,2012,17.9,8.6999998,16.299999,1.5,954216,81267,872950
Antigua and Barbuda,2012,38.900002,3.4000001,5.0,1.9,2236,673,1563
Argentina,2012,19.700001,19.299999,23.700001,15.1,5987695,2425107,3562587
Armenia,2012,23.1,26.700001,51.5,1.8,631086,20821,610265
Australia,2012,20.1,16.299999,17.799999,14.7,2961263,1354856,1606407
Austria,2012,18.799999,29.299999,34.400002,24.4,2109044,910273,1198771
Azerbaijan,2012,17.0,22.4,45.200001,0.89999998,1622189,33504,1588685
Bahamas,2012,24.700001,10.1,16.0,4.5999999,29346,6875,22471
Bahrain,2012,17.0,19.0,26.4,5.3000002,200159,19480,180679
Bangladesh,2012,3.0,22.4,42.900002,1.4,24013742,750115,23263625
Barbados,2012,26.299999,6.0,10.2,1.9,13827,2212,11615
Belarus,2012,29.299999,26.9,46.799999,10.1,2174988,446618,1728370
Belgium,2012,14.3,26.1,29.0,23.4,2371022,1091015,1280008
Belize,2012,32.099998,8.8999996,16.200001,1.6,18827,1714,17114
Benin,2012,4.8000002,7.6999998,13.9,1.6,439181,45526,393655
Bhutan,2012,23.0,11.0,17.0,3.8,58540,9112,49428
Bolivia,2012,3.0999999,24.4,38.400002,10.8,1660006,371434,1288572
Bosnia and Herzegovina,2012,23.4,31.200001,39.599998,23.299999,1000678,385848,614830
Botswana,2012,14.6,13.5,21.700001,5.1999998,179346,34621,144725
Brazil,2012,22.799999,13.8,16.700001,11.1,20734652,8580927,12153725
Brunei,2012,48.599998,11.5,14.4,8.5,35269,12974,22295
Bulgaria,2012,16.9,32.299999,39.0,26.0,2059760,858595,1201166
Burkina Faso,2012,1.7,10.5,18.9,2.5,939331,115032,824299
Burundi,2012,11.2,13.9,19.9,8.1000004,763740,225938,537802
Cambodia,2012,10.4,19.5,37.0,3.5,1992481,188399,1804082
Cameroon,2012,13.3,7.0,13.6,0.5,865618,30427,835190
Canada,2012,27.6,14.5,16.5,12.6,4160166,1828543,2331623
Cape Verde,2012,2.7,6.5999999,10.5,2.8,22855,4816,18039
Central African Republic,2012,11.8,8.3999996,15.7,1.4,227460,19430,208031
Chad,2012,1.0,7.0,12.2,1.9,448334,60789,387544
Chile,2012,9.1999998,28.6,32.099998,25.200001,3923926,1761515,2162411
China,2012,22.299999,24.9,46.5,2.2,281714540,12152644,269561883
Colombia,2012,10.1,11.3,17.299999,5.5999999,3874289,993157,2881132
Comoros,2012,4.9000001,10.4,18.700001,2.2,43332,4626,38706
Congo,2012,14.3,8.6999998,16.200001,1.3,217553,16157,201396
Costa Rica,2012,18.799999,12.1,16.4,7.6999998,442921,139043,303877
Cote d'Ivoire,2012,16.9,10.3,18.799999,1.2,1194513,67625,1126888
Croatia,2012,27.200001,27.9,36.0,20.6,1022722,393901,628820
Cuba,2012,29.1,16.6,20.799999,12.3,1557423,579532,977890
Cyprus,2012,29.299999,31.6,46.900002,17.5,233246,67272,165974
Czech Republic,2012,24.6,23.6,28.5,19.0,2119660,873330,1246329
Democratic Republic of Congo,2012,7.3000002,8.0,14.9,1.2,2870564,224547,2646017
Denmark,2012,24.6,18.700001,19.9,17.5,861253,409702,451551
Djibouti,2012,11.3,21.5,36.5,6.4000001,122406,18366,104040
Dominica,2012,11.6,5.5,8.3999996,2.7,2854,721,2133
Dominican Republic,2012,13.6,11.1,13.4,8.8999996,794842,318322,476520
Ecuador,2012,14.8,6.4000001,9.8000002,2.9000001,685996,159760,526236
Egypt,2012,19.1,18.4,35.799999,1.1,10189096,293802,9895295
El Salvador,2012,17.4,9.1999998,17.200001,2.4000001,401864,57349,344516
Equatorial Guinea,2012,25.9,9.1999998,16.5,1.4,41515,3107,38408
Eritrea,2012,38.299999,5.9000001,11.5,0.60000002,207060,11104,195956
Estonia,2012,23.299999,26.299999,38.299999,16.299999,298419,101855,196564
Ethiopia,2012,6.1999998,3.7,6.5999999,0.80000001,1901237,205202,1696035
Fiji,2012,12.5,14.3,23.6,4.5999999,88718,14246,74472
Finland,2012,17.799999,16.5,19.700001,13.5,743091,311941,431150
France,2012,14.4,27.299999,31.200001,23.700001,14133156,6409925,7723229
Gabon,2012,24.700001,10.9,19.0,2.9000001,109938,14309,95628
Gambia,2012,17.4,12.1,24.1,0.69999999,117453,3682,113770
Georgia,2012,23.799999,22.700001,44.599998,4.1999998,815755,80802,734953
Germany,2012,15.1,22.299999,25.9,18.9,15844341,6881856,8962485
Ghana,2012,15.1,3.9000001,7.0,1.0,603954,77696,526259
Greece,2012,21.0,35.5,39.900002,31.299999,3374784,1516672,1858111
Grenada,2012,23.6,9.3999996,14.7,4.1999998,7245,1613,5632
Guatemala,2012,10.5,6.3000002,11.2,1.9,562527,89364,473162
Guinea,2012,1.8,6.3000002,11.2,1.4,414557,47710,366846
Guinea-Bissau,2012,8.1999998,6.5999999,11.7,1.6,64048,7735,56313
Guyana,2012,31.799999,15.3,27.5,3.5,77164,8779,68385
Haiti,2012,6.1999998,7.0999999,11.5,2.9000001,467615,99266,368348
Honduras,2012,11.9,11.3,21.0,1.8,576585,46635,529949
Hungary,2012,16.0,26.6,31.1,22.6,2275537,1028799,1246738
Iceland,2012,27.0,14.4,15.9,12.9,36513,16381,20132
India,2012,8.1999998,12.6,21.9,2.9000001,110190326,12168756,98021571
Indonesia,2012,11.0,30.200001,57.299999,3.3,52712875,2875037,49837836
Iran,2012,20.9,12.1,22.700001,1.5,7083248,436104,6647144
Iraq,2012,21.6,16.5,30.700001,2.3,3216218,223807,2992412
Ireland,2012,23.200001,24.299999,24.799999,23.799999,868872,433431,435441
Israel,2012,18.9,19.4,25.700001,13.4,1073768,379112,694656
Italy,2012,20.0,22.299999,25.6,19.299999,11659468,5236818,6422651
Jamaica,2012,15.1,14.7,26.200001,3.8,293371,38694,254677
Japan,2012,23.799999,21.299999,33.900002,9.5,23340781,5391231,17949549
Jordan,2012,12.9,25.799999,42.700001,8.1999998,1193396,186134,1007262
Kazakhstan,2012,20.5,24.4,44.5,6.4000001,2955061,411480,2543581
Kenya,2012,12.0,9.5,18.200001,0.89999998,2366606,117739,2248867
Kiribati,2012,12.9,41.099998,53.299999,29.299999,28010,10166,17844
Kuwait,2012,21.799999,24.4,37.0,3.0999999,594458,28557,565901
Kyrgyzstan,2012,17.6,18.1,33.799999,3.3,692756,65089,627667
Laos,2012,12.4,27.299999,44.799999,10.5,1169048,228810,940239
Latvia,2012,16.1,29.1,44.400002,16.5,561321,173053,388268
Lebanon,2012,27.6,27.0,33.5,20.200001,983600,359000,624600
Lesotho,2012,24.700001,16.700001,33.599998,0.80000001,217171,5369,211802
Liberia,2012,12.6,6.3000002,11.5,1.1,150065,13532,136533
Libya,2012,20.9,15.4,29.9,0.89999998,669123,20424,648700
Lithuania,2012,13.4,25.799999,40.400002,13.5,717098,204676,512422
Luxembourg,2012,15.5,25.299999,29.200001,21.4,106192,45617,60575
Macedonia,2012,18.799999,36.900002,47.200001,26.6,645135,234006,411129
Madagascar,2012,5.6999998,13.6,26.1,1.4,1736849,89746,1647104
Malawi,2012,10.8,9.6999998,17.700001,1.8,842296,78562,763734
Malaysia,2012,15.2,19.1,38.099998,1.2,4085928,127663,3958265
Maldives,2012,22.799999,20.200001,34.400002,6.0,48450,7199,41251
Mali,2012,8.6999998,10.3,17.700001,2.9000001,808244,115719,692525
Malta,2012,40.299999,22.1,27.1,17.200001,80354,31356,48998
Marshall Islands,2012,20.1,17.700001,30.299999,4.9000001,7478,1020,6457
Mauritania,2012,41.799999,13.0,22.299999,3.7,295072,41876,253196
Mauritius,2012,25.0,18.299999,34.299999,2.8,180963,14347,166616
Mexico,2012,11.8,9.8999996,15.4,4.9000001,8496024,2235847,6260177
Micronesia,2012,21.1,24.299999,37.299999,10.9,16121,3542,12579
Moldova,2012,36.299999,20.9,39.400002,4.5999999,611955,72125,539830
Mongolia,2012,13.9,25.4,45.599998,5.9000001,518930,61124,457807
Montenegro,2012,23.6,26.5,34.299999,19.1,133211,49099,84112
Morocco,2012,14.0,13.5,27.0,0.69999999,3161489,89109,3072380
Mozambique,2012,5.4000001,11.0,19.4,3.4000001,1515245,241271,1273973
Myanmar,2012,10.0,17.5,30.0,5.9000001,6886003,1213455,5672548
Namibia,2012,5.5999999,14.6,21.6,8.3000002,209463,62150,147313
Nepal,2012,5.5,23.799999,34.5,14.3,4213365,1345180,2868185
Netherlands,2012,13.4,20.799999,21.6,20.1,2860947,1401334,1459613
New Zealand,2012,20.1,16.799999,17.4,16.200001,578689,287686,291003
Nicaragua,2012,16.200001,10.9,16.799999,5.1999998,433250,107520,325730
Niger,2012,7.9000001,5.0,8.8000002,1.3,430969,54633,376336
Nigeria,2012,14.7,4.0,6.9000001,1.0,3776711,462951,3313760
North Korea,2012,14.9,24.0,46.799999,2.8,4637347,278562,4358785
Norway,2012,11.2,16.9,17.6,16.1,671237,323162,348075
Oman,2012,33.5,9.1000004,13.5,0.80000001,228437,6841,221596
Pakistan,2012,15.8,15.4,25.700001,4.5999999,18078040,2644928,15433113
Palestine,2012,15.3,20.799999,38.400002,2.8,520680,34967,485714
Panama,2012,30.5,8.3999996,13.6,3.2,228869,43270,185599
Papua New Guinea,2012,14.5,37.900002,54.099998,21.4,1674648,467467,1207182
Paraguay,2012,23.200001,11.7,18.299999,5.0,523900,111452,412448
Peru,2012,4.0,11.0,17.6,4.5999999,2345470,489620,1855850
Philippines,2012,21.4,22.9,38.900002,7.0999999,14470787,2263398,12207389
Poland,2012,17.4,27.200001,31.6,23.200001,8864459,3948859,4915599
Portugal,2012,14.7,21.6,30.299999,13.5,1952984,638087,1314897
Qatar,2012,13.9,18.1,22.200001,1.4,321940,4757,317182
Romania,2012,19.6,26.4,36.200001,17.200001,4870683,1644024,3226659
Russia,2012,24.4,31.9,52.400002,14.9,38559077,9860813,28698263
Rwanda,2012,36.700001,7.5999999,13.7,1.9,489280,64104,425176
Saint Lucia,2012,26.799999,10.3,16.299999,4.6999998,14130,3286,10844
Saint Vincent and the Grenadines,2012,81.599998,9.0,15.8,2.2,7348,884,6464
Samoa,2012,20.0,22.4,31.6,12.7,26316,7260,19056
Sao Tome and Principe,2012,6.4000001,3.3,5.8000002,1.0,3649,579,3070
Saudi Arabia,2012,35.0,15.0,24.0,1.9,2978090,151983,2826107
Senegal,2012,11.2,7.0,13.9,0.80000001,544610,31215,513395
Serbia,2012,23.5,26.5,31.9,21.5,2118021,885420,1232601
Seychelles,2012,4.1999998,15.7,27.299999,3.7,11319,1311,10008
Sierra Leone,2012,4.5,17.6,29.5,6.0,614196,106531,507666
Singapore,2012,18.1,13.1,22.9,3.8,422659,62902,359757
Slovakia,2012,29.700001,22.4,31.0,14.4,1035400,344950,690450
Slovenia,2012,24.700001,22.200001,26.0,18.5,393481,165707,227773
Solomon Islands,2012,3.4000001,26.799999,38.200001,15.3,87843,24986,62857
Somalia,2012,26.6,9.6000004,17.6,1.8,513594,48838,464756
South Africa,2012,11.8,14.9,21.700001,8.6999998,5491791,1669391,3822400
South Korea,2012,25.0,24.0,42.700001,5.8000002,9961625,1213619,8748006
Spain,2012,20.0,24.700001,29.0,20.6,9798622,4162598,5636023
Sri Lanka,2012,7.9000001,12.0,23.9,1.0,1902234,80851,1821383
Sudan,2012,17.4,5.5999999,9.6999998,1.5,1573706,216948,1356758
Suriname,2012,108.9,6.0999999,10.0,2.3,23631,4457,19174
Swaziland,2012,35.900002,7.3000002,12.8,2.0999999,55510,8131,47378
Sweden,2012,22.5,13.6,12.4,14.7,1074390,587802,486589
Switzerland,2012,22.5,19.799999,22.299999,17.4,1338689,600033,738656
Syria,2012,25.9,17.1,27.799999,6.0999999,2421878,425114,1996764
Taiwan,2012,32.400002,17.4,31.4,3.5,3428743,348838,3079905
Tajikistan,2012,3.8,15.7,28.9,2.5,805645,65669,739976
Tanzania,2012,7.8000002,9.3000002,17.5,1.1,2439218,143262,2295956
Thailand,2012,12.5,19.700001,38.099998,2.4000001,10739255,663657,10075599
Timor,2012,1.4,30.0,55.799999,3.5,179232,10317,168915
Togo,2012,24.700001,6.1999998,11.4,1.2,237982,23306,214677
Tonga,2012,11.5,33.5,43.799999,23.6,22029,7903,14126
Trinidad and Tobago,2012,14.8,17.6,28.4,7.1999998,186373,38648,147726
Tunisia,2012,18.1,24.5,45.200001,4.5,2044971,190591,1854380
Turkey,2012,19.4,26.5,39.900002,13.8,14488774,3896005,10592769
Turkmenistan,2012,15.2,19.5,36.900002,3.0999999,720159,59041,661118
Uganda,2012,2.5,7.8000002,14.1,1.5,1456756,141007,1315749
Ukraine,2012,20.1,26.5,46.5,10.1,10474520,2184655,8289866
United Arab Emirates,2012,17.6,15.8,20.799999,1.7,1244846,35937,1208909
United Kingdom,2012,13.6,20.1,21.700001,18.700001,10355707,4910684,5445024
United States,2012,22.5,15.3,16.9,13.7,38325132,17655144,20669990
Uruguay,2012,25.4,22.200001,26.5,18.4,588429,255164,333264
Uzbekistan,2012,24.700001,11.2,21.0,1.6,2263776,164455,2099321
Vanuatu,2012,4.6999998,16.299999,29.5,3.0999999,25254,2412,22842
Venezuela,2012,19.6,16.6,21.6,11.6,3530702,1239124,2291578
Vietnam,2012,13.9,20.700001,40.900002,1.5,14464714,530579,13934135
World,2012,17.700001,18.6,31.1,6.1999998,967313733,160033187,807280565
Yemen,2012,30.4,14.3,22.9,5.6999998,2017418,399384,1618034
Zambia,2012,7.1999998,11.4,20.799999,2.0999999,854674,79548,775126
Zimbabwe,2012,20.6,11.3,21.299999,1.9,929016,78120,850896
